"name","label","geometry","site"
0,0,"43.9349 4.3020","ripisylves_gardon"
1,1,"43.9352 4.3010","ripisylves_gardon"
2,2,"43.9354 4.3018","ripisylves_gardon"
3,3,"43.9352 4.3017","ripisylves_gardon"
4,4,"43.9345 4.3001","ripisylves_gardon"
5,5,"43.9341 4.3020","ripisylves_gardon"
6,6,"43.9335 4.3012","ripisylves_gardon"
7,7,"43.9331 4.2976","ripisylves_gardon"
8,8,"43.9333 4.2968","ripisylves_gardon"
9,9,"43.9335 4.2958","ripisylves_gardon"
10,10,"43.9358 4.3048","ripisylves_gardon"
11,11,"43.9352 4.3037","ripisylves_gardon"
12,12,"43.9358 4.3040","ripisylves_gardon"
13,13,"43.9359 4.3037","ripisylves_gardon"
14,14,"43.9358 4.3034","ripisylves_gardon"
15,15,"43.9358 4.3022","ripisylves_gardon"
16,16,"43.9359 4.3025","ripisylves_gardon"
17,17,"43.9363 4.3034","ripisylves_gardon"
18,18,"43.9362 4.3012","ripisylves_gardon"
19,19,"43.9368 4.3014","ripisylves_gardon"
20,20,"43.9359 4.3000","ripisylves_gardon"
21,21,"43.9363 4.2999","ripisylves_gardon"
22,22,"43.9366 4.3004","ripisylves_gardon"
23,23,"43.9805 4.2170","ripisylves_gardon"
24,24,"43.9554 4.2651","ripisylves_gardon"
25,25,"43.9552 4.2663","ripisylves_gardon"
26,26,"43.9530 4.2657","ripisylves_gardon"
27,27,"43.9523 4.2643","ripisylves_gardon"
28,28,"43.9518 4.2663","ripisylves_gardon"
29,29,"43.9550 4.2618","ripisylves_gardon"
30,30,"43.9579 4.2567","ripisylves_gardon"
31,31,"43.9585 4.2542","ripisylves_gardon"
32,32,"43.9541 4.2597","ripisylves_gardon"
33,33,"43.9623 4.2471","ripisylves_gardon"
34,34,"43.9635 4.2489","ripisylves_gardon"
35,35,"43.9633 4.2484","ripisylves_gardon"
36,36,"43.9627 4.2500","ripisylves_gardon"
37,37,"43.9633 4.2492","ripisylves_gardon"
38,38,"43.9590 4.2577","ripisylves_gardon"
39,39,"43.9612 4.2561","ripisylves_gardon"
40,40,"43.9635 4.2514","ripisylves_gardon"
41,41,"43.9641 4.2515","ripisylves_gardon"
42,42,"43.9640 4.2521","ripisylves_gardon"
43,43,"43.9700 4.2427","ripisylves_gardon"
44,44,"43.9696 4.2441","ripisylves_gardon"
45,45,"43.9728 4.2421","ripisylves_gardon"
46,46,"43.9729 4.2421","ripisylves_gardon"
47,47,"43.9730 4.2431","ripisylves_gardon"
48,48,"43.9718 4.2429","ripisylves_gardon"
49,49,"43.9620 4.2477","ripisylves_gardon"
50,50,"43.9652 4.2471","ripisylves_gardon"
51,51,"43.9742 4.2399","ripisylves_gardon"
52,52,"43.9747 4.2383","ripisylves_gardon"
53,53,"43.9752 4.2374","ripisylves_gardon"
54,54,"43.9753 4.2387","ripisylves_gardon"
55,55,"43.9745 4.2392","ripisylves_gardon"
56,56,"43.9687 4.2437","ripisylves_gardon"
57,57,"43.9692 4.2434","ripisylves_gardon"
58,58,"43.9708 4.2431","ripisylves_gardon"
59,59,"43.9716 4.2420","ripisylves_gardon"
60,60,"43.9735 4.2391","ripisylves_gardon"
61,61,"43.9732 4.2405","ripisylves_gardon"
62,62,"43.9735 4.2398","ripisylves_gardon"
63,63,"43.9838 4.2139","ripisylves_gardon"
64,64,"43.9833 4.2149","ripisylves_gardon"
65,65,"43.9826 4.2160","ripisylves_gardon"
66,66,"43.9818 4.2176","ripisylves_gardon"
67,67,"43.9731 4.2388","ripisylves_gardon"
68,68,"43.9721 4.2394","ripisylves_gardon"
69,69,"43.9713 4.2401","ripisylves_gardon"
70,70,"43.9709 4.2412","ripisylves_gardon"
71,71,"43.9711 4.2410","ripisylves_gardon"
72,72,"43.9721 4.2411","ripisylves_gardon"
73,73,"43.9716 4.2411","ripisylves_gardon"
74,74,"43.9721 4.2402","ripisylves_gardon"
